feasible,instance,model,seed,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum
1,inst-216-123,model,0,0,7.247,0,0,24.8323,0,510686,yes,../wrapper.py 216 216 123 random -n_templates_middle 41 -n_templates_delta 9 -n_slots_middle 28 -n_slots_delta 7 -n_variations_middle 5 -n_variations_delta 19 -demand_range_middle 9 -demand_range_delta 17,388b54aa9c4ffc002a67db2e04fd89e6
1,inst-217-123,model,0,0,6.611,0,0,10.2695,0,291886,yes,../wrapper.py 217 217 123 random -n_templates_middle 22 -n_templates_delta 4 -n_slots_middle 50 -n_slots_delta 11 -n_variations_middle 2 -n_variations_delta 23 -demand_range_middle 44 -demand_range_delta 15,c338fed20af98a2b748af9a23cee0654
1,inst-22-123,model,0,0,9.531,0,0,17.6961,0,392519,yes,../wrapper.py 22 22 123 random -n_templates_middle 21 -n_templates_delta 6 -n_slots_middle 32 -n_slots_delta 4 -n_variations_middle 44 -n_variations_delta 18 -demand_range_middle 34 -demand_range_delta 16,ef1be3fa4bdb0f799906aafde62ccfab
1,inst-220-123,model,0,0,13.772,0,0,139.906,0,1391501,yes,../wrapper.py 220 220 123 random -n_templates_middle 40 -n_templates_delta 15 -n_slots_middle 49 -n_slots_delta 12 -n_variations_middle 45 -n_variations_delta 10 -demand_range_middle 22 -demand_range_delta 24,ac269644cb449bd4a4b5b842a4d2fd62
1,inst-221-123,model,0,0,9.466,0,0,73.194,0,1024559,yes,../wrapper.py 221 221 123 random -n_templates_middle 35 -n_templates_delta 0 -n_slots_middle 9 -n_slots_delta 12 -n_variations_middle 22 -n_variations_delta 24 -demand_range_middle 45 -demand_range_delta 8,e50d51892558a1ff02ac55d8866735b0
1,inst-222-123,model,0,0,6.674,0,0,17.0208,0,392680,yes,../wrapper.py 222 222 123 random -n_templates_middle 36 -n_templates_delta 22 -n_slots_middle 34 -n_slots_delta 15 -n_variations_middle 8 -n_variations_delta 15 -demand_range_middle 13 -demand_range_delta 11,f553d73edb834887fa80b9d42f61b101
1,inst-225-123,model,0,0,9.796,0,0,79.1795,0,1014054,yes,../wrapper.py 225 225 123 random -n_templates_middle 30 -n_templates_delta 20 -n_slots_middle 19 -n_slots_delta 8 -n_variations_middle 33 -n_variations_delta 23 -demand_range_middle 30 -demand_range_delta 13,292b63e85d6909da87e781d994b808b8
1,inst-226-123,model,0,0,3.993,0,0,10.9179,0,202342,yes,../wrapper.py 226 226 123 random -n_templates_middle 8 -n_templates_delta 21 -n_slots_middle 11 -n_slots_delta 16 -n_variations_middle 31 -n_variations_delta 1 -demand_range_middle 48 -demand_range_delta 15,1783e1582105f11a06f04aa2c6b6a338
1,inst-227-123,model,0,0,11.703,0,0,103.792,0,1104084,yes,../wrapper.py 227 227 123 random -n_templates_middle 44 -n_templates_delta 12 -n_slots_middle 14 -n_slots_delta 14 -n_variations_middle 40 -n_variations_delta 17 -demand_range_middle 24 -demand_range_delta 12,b70a778d7610c73b754f068eb8439e1a
1,inst-228-123,model,0,0,12.58,0,0,51.9559,0,635599,yes,../wrapper.py 228 228 123 random -n_templates_middle 31 -n_templates_delta 11 -n_slots_middle 31 -n_slots_delta 0 -n_variations_middle 50 -n_variations_delta 10 -demand_range_middle 6 -demand_range_delta 22,b835258bda5ec029e011b3b9777ce5a5
